,Week,Interest,Country,Crypto
10616,2023-05-21,0,Brasil,Ripple
10617,2023-05-28,1,Brasil,Ripple
10618,2023-06-04,0,Brasil,Ripple
10619,2023-06-11,0,Brasil,Ripple
10620,2023-06-18,0,Brasil,Ripple
10621,2023-06-25,0,Brasil,Ripple
10622,2023-07-02,0,Brasil,Ripple
10623,2023-07-09,4,Brasil,Ripple
10624,2023-07-16,0,Brasil,Ripple
10625,2023-07-23,0,Brasil,Ripple
10626,2023-07-30,0,Brasil,Ripple
10627,2023-08-06,0,Brasil,Ripple
10628,2023-08-13,0,Brasil,Ripple
10629,2023-08-20,1,Brasil,Ripple
10630,2023-08-27,0,Brasil,Ripple
10631,2023-09-03,1,Brasil,Ripple
10632,2023-09-10,0,Brasil,Ripple
10633,2023-09-17,0,Brasil,Ripple
10634,2023-09-24,0,Brasil,Ripple
10635,2023-10-01,0,Brasil,Ripple
10636,2023-10-08,0,Brasil,Ripple
10637,2023-10-15,0,Brasil,Ripple
10638,2023-10-22,0,Brasil,Ripple
10639,2023-10-29,0,Brasil,Ripple
10640,2023-11-05,1,Brasil,Ripple
10641,2023-11-12,1,Brasil,Ripple
10642,2023-11-19,1,Brasil,Ripple
10643,2023-11-26,0,Brasil,Ripple
10644,2023-12-03,2,Brasil,Ripple
10645,2023-12-10,2,Brasil,Ripple
10646,2023-12-17,2,Brasil,Ripple
10647,2023-12-24,2,Brasil,Ripple
10648,2023-12-31,3,Brasil,Ripple
10649,2024-01-07,2,Brasil,Ripple
10650,2024-01-14,2,Brasil,Ripple
10651,2024-01-21,0,Brasil,Ripple
10652,2024-01-28,0,Brasil,Ripple
10653,2024-02-04,0,Brasil,Ripple
10654,2024-02-11,0,Brasil,Ripple
10655,2024-02-18,0,Brasil,Ripple
10656,2024-02-25,0,Brasil,Ripple
10657,2024-03-03,2,Brasil,Ripple
10658,2024-03-10,0,Brasil,Ripple
10659,2024-03-17,0,Brasil,Ripple
10660,2024-03-24,0,Brasil,Ripple
10661,2024-03-31,0,Brasil,Ripple
10662,2024-04-07,0,Brasil,Ripple
10663,2024-04-14,0,Brasil,Ripple
10664,2024-04-21,0,Brasil,Ripple
10665,2024-04-28,0,Brasil,Ripple
10666,2024-05-05,0,Brasil,Ripple
10667,2024-05-12,2,Brasil,Ripple
10668,2024-05-19,2,Brasil,Ripple
10669,2024-05-26,0,Brasil,Ripple
10670,2024-06-02,0,Brasil,Ripple
10671,2024-06-09,0,Brasil,Ripple
10672,2024-06-16,0,Brasil,Ripple
10673,2024-06-23,0,Brasil,Ripple
10674,2024-06-30,2,Brasil,Ripple
10675,2024-07-07,0,Brasil,Ripple
10676,2024-07-14,2,Brasil,Ripple
10677,2024-07-21,2,Brasil,Ripple
10678,2024-07-28,0,Brasil,Ripple
10679,2024-08-04,0,Brasil,Ripple
10680,2024-08-11,0,Brasil,Ripple
10681,2024-08-18,0,Brasil,Ripple
10682,2024-08-25,0,Brasil,Ripple
10683,2024-09-01,0,Brasil,Ripple
10684,2024-09-08,0,Brasil,Ripple
10685,2024-09-15,0,Brasil,Ripple
10686,2024-09-22,0,Brasil,Ripple
10687,2024-09-29,2,Brasil,Ripple
10688,2024-10-06,2,Brasil,Ripple
10689,2024-10-13,0,Brasil,Ripple
10690,2024-10-20,2,Brasil,Ripple
